Name,Lenght,Peregib,Leaf_and_Root,line_kust,line_kust_value,max_kust,width_rectangle,height_rectangle,bio_mass,Path
454-77-1,386.67619023324943,3,33,5.0,8.0,21,269,240,9611,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-77-1.jpg
454-84-1,747.4041122946078,3,12,4.0,10.0,52,448,557,23686,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-84-1.jpg
446-5-3,478.1320343559657,2,29,5.0,11.0,55,558,252,9194,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-5-3.jpg
453-8-4,1125.1412690719578,2,38,4.0,9.5,19,732,626,28462,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/453-8-4.jpg
446-6-2,157.45584412271575,0,14,2.0,4.0,17,183,160,2192,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/446-6-2.jpg
454-79,671.2396820942911,2,36,6.0,15.0,30,398,557,37333,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-79.jpg
991-12,423.37972567696744,2,23,4.0,6.0,25,273,385,13404,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-12.jpg
454-82-2,299.7939392393405,1,15,2.0,10.0,27,359,246,5171,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-82-2.jpg
454-71-3,88.69848480983497,0,2,1.0,3.0,5,41,95,930,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-71-3.jpg
451-15-2,672.6244584051417,1,40,4.0,8.0,36,440,576,22374,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-15-2.jpg
454-87-2,202.5807358037437,1,27,1.0,6.5,31,384,205,2552,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-87-2.jpg
454-84-3,582.865007051206,3,35,4.0,10.5,24,479,556,23076,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-84-3.jpg
454-70-2,474.1370849898484,1,28,2.0,9.0,47,471,424,11178,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-70-2.jpg
451-16-4,468.3797256769674,0,15,3.0,4.0,9,235,464,15608,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-16-4.jpg
451-15-3,803.126983722083,6,27,4.0,9.5,26,631,573,21043,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-15-3.jpg
454-83-2,755.8010819142779,3,13,4.0,9.0,20,294,496,24515,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-83-2.jpg
454-69,222.5979797464468,0,20,2.0,8.0,19,276,209,6263,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-69.jpg
454-68-3,750.4751801064731,2,52,3.0,11.0,31,400,616,26148,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-68-3.jpg
454-77-4,249.7106781186549,3,35,6.0,10.5,37,367,243,10712,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-77-4.jpg
452-10-3,737.8204178980358,1,93,4.0,7.5,80,492,515,22028,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/452-10-3.jpg
454-69-2,209.29646455628182,0,16,2.0,4.0,17,153,207,3386,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-69-2.jpg
454-74-1,357.7939392393405,2,40,7.0,14.0,80,328,196,12950,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-74-1.jpg
454-85,51.25483399593902,0,7,1.0,3.0,30,368,169,857,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-85.jpg
454-86-1,343.91883092036863,4,43,5.0,10.0,25,253,307,10370,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-86-1.jpg
454-81-2,145.21320343559643,0,44,2.0,5.0,21,219,267,3342,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-81-2.jpg
454-71-1,101.39696961966992,0,9,1.0,4.0,21,191,102,1281,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-71-1.jpg
454-81-1,154.76955262170054,0,17,3.0,5.5,14,260,160,3440,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-81-1.jpg
454-68-4,839.0853531617403,2,40,3.0,9.0,26,363,603,26131,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-68-4.jpg
991-11-4,435.44574285495014,4,30,3.0,12.5,26,285,374,17623,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-11-4.jpg
454-85-2,165.12489168102786,0,10,1.0,4.5,10,214,161,2113,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-85-2.jpg
451-18,200.28427124746202,0,2,2.0,4.5,14,177,212,3529,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-18.jpg
454-80-2,434.8893936688462,5,19,6.0,12.0,26,319,413,23764,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-80-2.jpg
451-15,648.3158005400395,2,23,4.0,10.5,46,637,569,21812,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-15.jpg
454-83-3,797.9036790187209,3,34,4.0,8.5,24,426,484,25412,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-83-3.jpg
991-13-4,847.5046173579955,2,20,5.0,12.0,62,617,791,46123,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-13-4.jpg
454-79-3,622.9726547895318,0,50,6.0,10.5,32,340,575,32305,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-79-3.jpg
454-73-1,360.41630560342753,1,25,2.5,6.0,19,459,193,4377,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-73-1.jpg
991-13,861.9604614807115,4,49,6.0,18.5,45,631,792,52948,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-13.jpg
991-11,203.65180361560934,3,41,1.0,9.5,21,466,371,11154,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/991-11.jpg
454-79-4,589.0609665441,3,20,4.0,8.0,23,204,541,25620,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-79-4.jpg
451-17-2,634.8376618407381,3,33,7.0,11.5,25,395,513,42008,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-17-2.jpg
454-86,379.93102422918906,4,21,4.0,10.5,32,333,297,10622,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-86.jpg
451-18-1,204.3553390593275,0,12,2.0,6.0,26,211,212,3675,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-18-1.jpg
451-17-1,598.6761902332494,2,34,7.0,13.0,27,271,511,41849,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/451-17-1.jpg
454-71-2,110.50966799187798,0,21,1.0,3.5,20,181,94,1487,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-71-2.jpg
454-69-3,200.9411254969544,0,16,2.0,4.5,10,205,212,3029,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-69-3.jpg
454-86-4,277.9116882454315,4,20,4.0,8.0,19,224,317,9443,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-86-4.jpg
454-75-2,266.3380951166247,2,12,1.0,6.0,12,207,259,4715,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-75-2.jpg
454-68-2,925.3818177180224,2,56,3.0,11.5,35,414,636,27257,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-68-2.jpg
454-68,804.0020920410548,3,52,3.0,12.5,34,366,641,29130,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-68.jpg
454-74,494.49242404917595,5,45,8.0,16.0,47,336,217,15190,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-74.jpg
454-83-1,594.0559159102172,2,34,4.0,9.0,23,411,518,26173,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-83-1.jpg
454-77,397.09040379562254,3,26,4.0,9.0,19,322,241,9715,/home/jupyter-fly_cv/Igor/Plants/data/Гаплоиды/6/2020_11_03/454-77.jpg
